"Shipment Number","Customer Ref.","Entered by Employee",Customer,"Freight Charges Costs","Layover Costs","Dentention Costs","Storage Costs","In/Out Costs","Other Costs","Bill to Customer Freight Charge","Bill to customer layover charge","Bill to detention charge","Bill to customer storage","Bill to in/out charge","Bill to customer other charge","Total Cost","Total Bill to",Margin
99999999,tbd,"Vlad Bose","Dummy Client",0,,,,,,0,,,,,,0.00,0.00,0
0130727,TBD,"Aidee Macias","DISNEY 532",0,,,,,,0,,,,,,0.00,0.00,0
0048382,,,adminPRD,,,,,,,,,,,,,,,0
0096782,,,adminPRD,,,,,,,,,,,,,,,0
0848294,,,"Vlad Bose",,,,,,,,,,,,,,,0
0559190,,,adminPRD,,,,,,,,,,,,,,,0
